475,CSI,48:4A:E9:20:BE:E0,-91,128,-43,80,13,0,1,9,2,8,1,8,-1,10,-1,12,0,12,0,11,-2,12,-5,13,-5,11,-2,11,3,14,4,13,4,11,3,10,2,8,2,7,1,8,1,7,2,6,1,4,-1,4,-1,6,0,9,0,7,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,11,-6,9,-5,5,-5,1,-7,-2,-5,-2,-1,-2,0,-2,0,-2,3,0,6,2,7,3,6,5,8,6,8,6,7,4,6,3,6,3,6,1,5,3,6,3,10,-3,11,-2,7,5,2,9,4,10,10
507,CSI,48:4A:E9:20:BE:E1,-92,128,-44,64,13,0,8,-6,11,-7,7,-4,4,-2,6,-3,9,-2,9,2,9,2,9,1,9,-3,9,-8,10,-10,11,-9,10,-6,8,-7,7,-9,7,-9,6,-7,9,-5,11,-4,8,-3,6,-4,7,-4,8,-3,8,-2,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-5,-10,-6,-7,-9,-4,-8,-4,-6,-3,-6,0,-5,2,-2,0,3,-3,3,-5,-1,-5,0,-4,5,-4,7,-5,8,-6,8,-7,9,-7,7,-8,4,-10,5,-10,9,-4,10,-1,10,-6,9,-10,10,-8,12,-6
538,CSI,48:4A:E9:20:EE:80,-72,128,-42,96,13,0,-18,-27,-17,-25,-15,-22,-13,-19,-12,-15,-11,-8,-11,-1,-11,5,-13,12,-17,17,-20,22,-23,26,-26,28,-29,28,-32,26,-33,22,-32,18,-29,14,-25,11,-19,9,-13,8,-6,8,-1,10,4,13,7,16,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,19,15,17,16,14,17,11,15,8,13,6,9,5,4,6,0,7,-5,9,-10,12,-13,15,-15,18,-15,20,-15,21,-14,20,-13,18,-11,15,-10,11,-10,6,-10,0,-11,-6,-13,-10,-15,-14,-17,-17,-19,-17,-22
570,CSI,48:4A:E9:20:BE:E0,-91,128,-43,80,13,0,10,4,11,3,12,6,7,7,2,6,1,8,2,10,2,9,1,9,0,10,4,11,4,10,1,11,3,11,5,10,3,9,0,9,0,10,1,8,-2,6,-4,5,-3,4,-1,3,-2,3,-2,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-1,-12,-1,-8,1,-5,2,-4,2,-2,1,0,-1,1,-1,3,-1,3,-4,5,-5,9,-5,9,-4,8,-3,6,-6,2,-7,3,-5,6,-5,9,-7,12,-4,12,0,10,3,10,5,12,5,14,4,15,2,16,-1
601,CSI,48:4A:E9:20:BE:E1,-91,128,-44,64,13,0,-11,11,-10,10,-9,9,-9,8,-8,6,-9,5,-11,3,-12,3,-12,7,-11,12,-11,12,-11,9,-10,8,-6,9,-3,9,-6,9,-8,9,-9,7,-10,4,-8,2,-6,2,-5,4,-5,4,-5,2,-4,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,4,7,2,5,0,2,-2,1,-1,0,-1,0,-3,0,-5,-1,-6,-4,-8,-3,-11,2,-11,3,-8,3,-6,5,-6,5,-7,4,-8,3,-7,5,-7,6,-9,5,-12,2,-15,3,-13,5,-9,6,-7,8
632,CSI,48:4A:E9:20:EE:80,-68,128,-42,96,13,0,25,25,26,25,26,23,24,21,21,18,17,14,11,9,5,6,-1,2,-8,-1,-15,-4,-22,-6,-27,-8,-32,-9,-35,-10,-37,-12,-37,-12,-34,-11,-31,-10,-26,-9,-20,-8,-14,-6,-8,-3,-2,-1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,24,7,23,6,21,4,18,3,14,1,9,-1,3,-2,-4,-4,-10,-7,-17,-9,-21,-10,-25,-10,-28,-12,-30,-13,-31,-13,-30,-12,-28,-10,-23,-8,-19,-6,-14,-3,-8,1,-2,5,4,9,10,14,15,18,18
674,CSI,4A:A5:65:B5:DC:63,-64,128,28,-64,1,0,-22,21,-22,20,-20,19,-19,19,-18,19,-17,18,-16,18,-14,17,-13,16,-12,16,-11,16,-11,16,-10,15,-9,15,-9,14,-8,13,-8,12,-7,11,-7,10,-6,9,-5,8,-4,8,-4,7,-3,6,-3,6,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,-8,14,-9,15,-10,16,-12,16,-14,17,-15,17,-16,17,-18,17,-19,17,-20,17,-21,17,-22,17,-22,17,-23,17,-24,17,-24,17,-25,17,-25,17,-24,18,-24,18,-24,18,-24,18,-24,19,-23,20,-23,21,-24,20
706,CSI,4A:A5:65:B5:DC:63,-64,128,28,-64,1,0,24,14,24,13,24,13,23,12,22,11,22,10,21,10,20,9,20,8,19,7,19,6,18,6,18,5,17,5,17,5,16,4,15,4,14,4,13,4,12,4,11,3,11,3,10,3,9,2,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,17,1,17,2,19,3,20,5,20,6,20,7,21,8,21,10,22,11,22,12,22,12,22,13,22,13,22,14,22,15,22,15,23,15,23,15,23,15,23,15,23,15,24,15,25,15,26,15,26,15
737,CSI,48:4A:E9:20:EE:80,-71,128,-42,96,13,0,-28,-7,-26,-8,-24,-8,-22,-6,-20,-5,-17,-3,-14,1,-12,5,-9,10,-9,15,-10,21,-12,25,-15,27,-18,28,-22,28,-25,27,-27,24,-26,20,-24,16,-21,13,-16,11,-12,11,-8,11,-3,13,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,10,-18,11,-16,10,-14,8,-13,6,-12,4,-11,1,-11,-3,-13,-6,-15,-8,-17,-8,-19,-8,-21,-8,-23,-6,-25,-4,-24,-3,-23,-3,-21,-4,-18,-5,-15,-7,-12,-10,-9,-13,-7,-17,-4,-20,-3,-23,-2,-24,-2
779,CSI,48:4A:E9:20:BE:E0,-91,128,-43,80,13,0,-14,-2,-12,-5,-10,-7,-9,-4,-7,-3,-8,-4,-11,-4,-12,-3,-11,-2,-10,-1,-11,-4,-13,-8,-12,-6,-10,-5,-7,-6,-6,-4,-8,-3,-10,0,-9,0,-7,0,-9,0,-11,2,-10,0,-7,-2,-4,-3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-7,5,-5,6,-4,5,-4,6,-1,5,3,1,0,0,-5,-1,-3,-2,-2,-3,-6,-3,-8,-5,-9,-6,-11,-4,-13,-2,-14,1,-15,1,-13,-2,-9,-4,-8,-5,-9,-6,-10,-5,-9,-3,-8,-3,-10,-7,-10,-10
